version,test_name,category,passed,latency_ms,total_tokens,cost_usd,confidence_score
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4267,5796,0.0028980000000000004,8
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2991,4268,0.002134,8
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3375,4270,0.0021349999999999997,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3072,6033,0.0030165,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3198,4500,0.0022500000000000003,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4990,4517,0.0022585,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,5078,6276,0.003138,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4394,4751,0.0023755,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3235,4724,0.002362,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,6211,5815,0.0029075000000000004,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3200,4283,0.0021415,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2923,4284,0.002142,8
v1.4,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2810,5880,0.00294,8
v1.4,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3386,4363,0.0021815000000000003,8
v1.4,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2554,4341,0.0021705,8
v1.5,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2703,6853,0.0034265,8
v1.5,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4729,5324,0.002662,8
v1.5,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4545,5333,0.0026665,8
