version,test_name,category,passed,latency_ms,total_tokens,cost_usd,confidence_score
v1.1,P. CRIMINAL,Testes de Classe Processual,1,3676,3827,0.0019135,8
v1.1,P. TRABALHO,Testes de Classe Processual,1,4771,4027,0.0020135,8
v1.1,P. JUIZADO,Testes de Classe Processual,0,2805,3974,0.001987,8
v1.1,1º INSTÂNCIA,Testes de Instância,1,4434,3977,0.0019885,8
v1.1,2º INSTÂNCIA - Agravante com Acórdão,Testes de Instância,1,3654,3803,0.0019015,8
v1.1,2º INSTÂNCIA - Apelante com Distribuição,Testes de Instância,1,2976,3681,0.0018405000000000001,7
v1.1,2º INSTÂNCIA Distribuição para Turma,Testes de Instância,1,2861,3709,0.0018545,3
v1.1,2º INSTÂNCIA - Embargos em Turma,Testes de Instância,1,3753,4467,0.0022335,8
v1.1,2º INSTÂNCIA[FALSO POSITIVO] - Julgamento Virtual RITJMG,Testes de Instância,1,4196,3885,0.0019425,8
v1.1,2º INSTÂNCIA[FALSO POSITIVO] - Acórdão de Turma Trabalhista,Testes de Instância,1,5463,4501,0.0022505000000000003,8
v1.1,2º INSTÂNCIA[FALSO POSITIVO] - Intimação de Acórdão Trabalhista,Testes de Instância,1,5020,4511,0.0022555,8
v1.1,2º INSTÂNCIA[FALSO POSITIVO],Testes de Instância,1,3070,4483,0.0022415,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,5225,6051,0.0030255,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3380,4514,0.0022570000000000003,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,5352,4498,0.002249,8
v1.2,COMPARECER || AUDIENCIA - Conciliação JESP Virtual,Testes de Ação Recomendada,0,3448,4695,0.0023475,8
v1.2,COMPARECER || AUDIENCIA - AGC Recuperação Judicial,Testes de Ação Recomendada,0,5246,7248,0.003624,8
v1.2,COMPARECER || AUDIENCIA - Conciliação CEJUSC Trabalhista,Testes de Ação Recomendada,0,3560,4444,0.002222,8
v1.2,COMPARECER || PERICIA,Testes de Ação Recomendada,0,2978,4132,0.0020659999999999997,8
v1.2,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,4192,4443,0.0022215,8
v1.2,COMPARECER || PAUTA_DE_JULGAMENTO - Presencial em Plenário,Testes de Ação Recomendada,0,3838,4253,0.0021265,8
v1.2,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,6134,4449,0.0022245,8
v1.2,COMPARECER || PAUTA DE JULGAMENTO - Virtual RITJMG com Memoriais,Testes de Ação Recomendada,0,4670,4444,0.002222,8
v1.2,MANIFESTAR-SE + COMPARECER || PRAZO NO TEXTO - Impugnação de Cálculos de Liquidação || AUDIÊNCIA - 16/06/2025 às 10:15,Testes de Ação Recomendada,0,3890,4775,0.0023875000000000003,8
v1.2,MANIFESTAR-SE || PRAZO NO TEXTO - Tentativa de Acordo em Cumprimento de Sentença,Testes de Ação Recomendada,0,5535,4196,0.002098,8
v1.2,MANIFESTAR-SE || PRAZO NO TEXTO - Devolução de Autos com Penalidade,Testes de Ação Recomendada,0,2766,4155,0.0020775000000000004,8
v1.2,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Nenhuma menção a audiência,Testes de Ação Recomendada,0,4103,3961,0.0019805,3
v1.2,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - marcou a audiencia; mas o texto fez referencia a 'aguarde-se audiencia já designada'. Na pratica = o advogado ja recebeu a notificação da data da audiencia; e vai esperar,Testes de Ação Recomendada,0,2965,4159,0.0020794999999999998,8
v1.2,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Não foi designação de audiência,Testes de Ação Recomendada,0,8470,4069,0.0020345,8
v1.2,P. CÍVIL,Testes de Classe Processual,1,3502,4155,0.0020775000000000004,8
v1.2,P. CRIMINAL,Testes de Classe Processual,1,5777,4059,0.0020295,8
v1.2,P. TRABALHO,Testes de Classe Processual,1,5057,4279,0.0021395,8
v1.2,P. JUIZADO,Testes de Classe Processual,1,5201,4210,0.002105,8
v1.2,1º INSTÂNCIA,Testes de Instância,1,3289,4210,0.002105,8
v1.2,2º INSTÂNCIA - Agravante com Acórdão,Testes de Instância,1,3543,4040,0.00202,8
v1.2,2º INSTÂNCIA - Apelante com Distribuição,Testes de Instância,1,11248,3911,0.0019555,7
v1.2,2º INSTÂNCIA Distribuição para Turma,Testes de Instância,1,2775,3983,0.0019915,3
v1.2,2º INSTÂNCIA - Embargos em Turma,Testes de Instância,1,4388,4694,0.002347,8
v1.2,2º INSTÂNCIA[FALSO POSITIVO] - Julgamento Virtual RITJMG,Testes de Instância,1,5168,4134,0.0020670000000000003,8
v1.2,2º INSTÂNCIA[FALSO POSITIVO] - Acórdão de Turma Trabalhista,Testes de Instância,1,6247,4752,0.002376,8
v1.2,2º INSTÂNCIA[FALSO POSITIVO] - Intimação de Acórdão Trabalhista,Testes de Instância,1,5178,4735,0.0023675000000000002,8
v1.2,2º INSTÂNCIA[FALSO POSITIVO],Testes de Instância,1,4588,4725,0.0023625,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,10649,6259,0.0031295000000000003,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2872,4744,0.002372,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3273,4711,0.0023555000000000004,8
v1.3,COMPARECER || AUDIENCIA - Conciliação JESP Virtual,Testes de Ação Recomendada,0,4061,4229,0.0021145,8
v1.3,COMPARECER || AUDIENCIA - AGC Recuperação Judicial,Testes de Ação Recomendada,0,8528,6803,0.0034015,8
v1.3,COMPARECER || AUDIENCIA - Conciliação CEJUSC Trabalhista,Testes de Ação Recomendada,0,4217,4021,0.0020105,8
v1.3,COMPARECER || PERICIA,Testes de Ação Recomendada,0,2646,3653,0.0018265,10
v1.3,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,4834,3944,0.0019720000000000002,8
v1.3,COMPARECER || PAUTA_DE_JULGAMENTO - Presencial em Plenário,Testes de Ação Recomendada,0,3361,3795,0.0018975,8
v1.3,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,6859,3923,0.0019615,8
v1.3,COMPARECER || PAUTA DE JULGAMENTO - Virtual RITJMG com Memoriais,Testes de Ação Recomendada,0,6253,4027,0.0020135,8
v1.3,MANIFESTAR-SE + COMPARECER || PRAZO NO TEXTO - Impugnação de Cálculos de Liquidação || AUDIÊNCIA - 16/06/2025 às 10:15,Testes de Ação Recomendada,0,3755,4305,0.0021525,8
v1.3,MANIFESTAR-SE || PRAZO NO TEXTO - Tentativa de Acordo em Cumprimento de Sentença,Testes de Ação Recomendada,0,3077,3740,0.0018700000000000001,8
v1.3,MANIFESTAR-SE || PRAZO NO TEXTO - Devolução de Autos com Penalidade,Testes de Ação Recomendada,0,2730,3696,0.001848,8
v1.3,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Nenhuma menção a audiência,Testes de Ação Recomendada,0,2611,3485,0.0017425,5
v1.3,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - marcou a audiencia; mas o texto fez referencia a 'aguarde-se audiencia já designada'. Na pratica = o advogado ja recebeu a notificação da data da audiencia; e vai esperar,Testes de Ação Recomendada,0,2973,3703,0.0018515,8
v1.3,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Não foi designação de audiência,Testes de Ação Recomendada,0,2745,3610,0.001805,8
v1.3,P. CÍVIL,Testes de Classe Processual,1,3984,3704,0.0018520000000000001,8
v1.3,P. CRIMINAL,Testes de Classe Processual,1,3287,3604,0.001802,10
v1.3,P. TRABALHO,Testes de Classe Processual,1,2884,3816,0.001908,8
v1.3,P. JUIZADO,Testes de Classe Processual,1,8853,3748,0.0018740000000000002,10
v1.3,1º INSTÂNCIA,Testes de Instância,1,2921,3737,0.0018685000000000002,8
v1.3,2º INSTÂNCIA - Agravante com Acórdão,Testes de Instância,1,3736,3551,0.0017755000000000002,8
v1.3,2º INSTÂNCIA - Apelante com Distribuição,Testes de Instância,1,2204,3473,0.0017365,10
v1.3,2º INSTÂNCIA Distribuição para Turma,Testes de Instância,1,3178,3524,0.0017620000000000001,5
v1.3,2º INSTÂNCIA - Embargos em Turma,Testes de Instância,1,2724,4224,0.002112,8
v1.3,2º INSTÂNCIA[FALSO POSITIVO] - Julgamento Virtual RITJMG,Testes de Instância,1,6972,3689,0.0018445,8
v1.3,2º INSTÂNCIA[FALSO POSITIVO] - Acórdão de Turma Trabalhista,Testes de Instância,1,2480,4282,0.002141,8
v1.3,2º INSTÂNCIA[FALSO POSITIVO] - Intimação de Acórdão Trabalhista,Testes de Instância,1,2874,4274,0.002137,8
v1.3,2º INSTÂNCIA[FALSO POSITIVO],Testes de Instância,1,3580,4237,0.0021185,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3790,5832,0.002916,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2972,4289,0.0021444999999999997,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,5143,4272,0.0021360000000000003,8
