version,total_tests,passed_tests,accuracy_percentage,avg_latency_ms,avg_tokens,avg_cost_usd,avg_confidence
v1.0,30,15,50,4403.933333333333,4016.8333333333335,0.0020084166666666666,7.6
v1.1,30,15,50,4414.066666666667,4264.433333333333,0.002132216666666667,7.733333333333333
v1.2,30,16,53.333333333333336,4818.333333333333,4500.8,0.0022504000000000005,7.633333333333334
v1.3,30,16,53.333333333333336,4007.733333333333,4039.6666666666665,0.0020198333333333335,8.066666666666666
v1.4,30,16,53.333333333333336,3815.8333333333335,4112.766666666666,0.0020563833333333333,8.033333333333333
v1.5,30,26,86.66666666666667,4535.233333333334,5084.233333333334,0.0025421166666666664,8.1
