version,test_name,category,passed,latency_ms,total_tokens,cost_usd,confidence_score
v1.0,COMPARECER || AUDIENCIA - Conciliação JESP Virtual,Testes de Ação Recomendada,0,4594,4215,0.0021075,8
v1.0,COMPARECER || AUDIENCIA - AGC Recuperação Judicial,Testes de Ação Recomendada,0,4733,6790,0.003395,7
v1.0,COMPARECER || AUDIENCIA - Conciliação CEJUSC Trabalhista,Testes de Ação Recomendada,0,2637,3982,0.001991,8
v1.0,COMPARECER || PERICIA,Testes de Ação Recomendada,0,2862,3652,0.0018260000000000001,8
v1.0,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,3618,3907,0.0019535,8
v1.0,COMPARECER || PAUTA_DE_JULGAMENTO - Presencial em Plenário,Testes de Ação Recomendada,0,3548,3804,0.001902,8
v1.0,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,5531,3886,0.001943,8
v1.0,COMPARECER || PAUTA DE JULGAMENTO - Virtual RITJMG com Memoriais,Testes de Ação Recomendada,0,3993,3963,0.0019815,8
v1.0,MANIFESTAR-SE + COMPARECER || PRAZO NO TEXTO - Impugnação de Cálculos de Liquidação || AUDIÊNCIA - 16/06/2025 às 10:15,Testes de Ação Recomendada,0,5770,4294,0.002147,8
v1.0,MANIFESTAR-SE || PRAZO NO TEXTO - Tentativa de Acordo em Cumprimento de Sentença,Testes de Ação Recomendada,0,3658,3713,0.0018565,8
v1.0,MANIFESTAR-SE || PRAZO NO TEXTO - Devolução de Autos com Penalidade,Testes de Ação Recomendada,0,4191,3685,0.0018425000000000002,8
v1.0,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Nenhuma menção a audiência,Testes de Ação Recomendada,0,2659,3457,0.0017285,5
v1.0,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - marcou a audiencia; mas o texto fez referencia a 'aguarde-se audiencia já designada'. Na pratica = o advogado ja recebeu a notificação da data da audiencia; e vai esperar,Testes de Ação Recomendada,0,2370,3673,0.0018365,8
v1.0,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Não foi designação de audiência,Testes de Ação Recomendada,0,2991,3586,0.0017929999999999999,8
v1.0,P. CÍVIL,Testes de Classe Processual,1,4263,3687,0.0018434999999999999,8
v1.0,P. CRIMINAL,Testes de Classe Processual,1,3596,3575,0.0017875,10
v1.0,P. TRABALHO,Testes de Classe Processual,1,13575,3816,0.001908,8
v1.0,P. JUIZADO,Testes de Classe Processual,1,2898,3721,0.0018605000000000002,8
v1.0,1º INSTÂNCIA,Testes de Instância,1,2826,3730,0.0018650000000000001,8
v1.0,2º INSTÂNCIA - Agravante com Acórdão,Testes de Instância,1,2747,3540,0.00177,8
v1.0,2º INSTÂNCIA - Apelante com Distribuição,Testes de Instância,1,2417,3429,0.0017144999999999999,7
v1.0,2º INSTÂNCIA Distribuição para Turma,Testes de Instância,1,2973,3504,0.001752,3
v1.0,2º INSTÂNCIA - Embargos em Turma,Testes de Instância,1,3680,4215,0.0021075,8
v1.0,2º INSTÂNCIA[FALSO POSITIVO] - Julgamento Virtual RITJMG,Testes de Instância,1,4506,3636,0.0018180000000000002,8
v1.0,2º INSTÂNCIA[FALSO POSITIVO] - Acórdão de Turma Trabalhista,Testes de Instância,1,3686,4261,0.0021305,8
v1.0,2º INSTÂNCIA[FALSO POSITIVO] - Intimação de Acórdão Trabalhista,Testes de Instância,1,3894,4262,0.0021309999999999996,8
v1.0,2º INSTÂNCIA[FALSO POSITIVO],Testes de Instância,1,3359,4231,0.0021155,8
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4625,5800,0.0029,8
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3278,4265,0.0021325,8
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3073,4265,0.0021325,8
v1.1,COMPARECER || AUDIENCIA - Conciliação JESP Virtual,Testes de Ação Recomendada,0,4075,4461,0.0022305000000000003,8
v1.1,COMPARECER || AUDIENCIA - AGC Recuperação Judicial,Testes de Ação Recomendada,0,3972,7003,0.0035015000000000003,8
v1.1,COMPARECER || AUDIENCIA - Conciliação CEJUSC Trabalhista,Testes de Ação Recomendada,0,3914,4221,0.0021105,8
v1.1,COMPARECER || PERICIA,Testes de Ação Recomendada,0,2956,3895,0.0019475,8
v1.1,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,4415,4211,0.0021055,8
v1.1,COMPARECER || PAUTA_DE_JULGAMENTO - Presencial em Plenário,Testes de Ação Recomendada,0,3277,4035,0.0020175,8
v1.1,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,5642,4232,0.0021160000000000003,8
v1.1,COMPARECER || PAUTA DE JULGAMENTO - Virtual RITJMG com Memoriais,Testes de Ação Recomendada,0,5315,4270,0.0021349999999999997,9
v1.1,MANIFESTAR-SE + COMPARECER || PRAZO NO TEXTO - Impugnação de Cálculos de Liquidação || AUDIÊNCIA - 16/06/2025 às 10:15,Testes de Ação Recomendada,0,2940,4538,0.002269,8
v1.1,MANIFESTAR-SE || PRAZO NO TEXTO - Tentativa de Acordo em Cumprimento de Sentença,Testes de Ação Recomendada,0,2692,3965,0.0019825,8
v1.1,MANIFESTAR-SE || PRAZO NO TEXTO - Devolução de Autos com Penalidade,Testes de Ação Recomendada,0,6450,3947,0.0019735,8
v1.1,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Nenhuma menção a audiência,Testes de Ação Recomendada,0,2458,3709,0.0018545,3
v1.1,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - marcou a audiencia; mas o texto fez referencia a 'aguarde-se audiencia já designada'. Na pratica = o advogado ja recebeu a notificação da data da audiencia; e vai esperar,Testes de Ação Recomendada,0,4478,3923,0.0019615,8
v1.1,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Não foi designação de audiência,Testes de Ação Recomendada,0,4634,3837,0.0019185,8
v1.1,P. CÍVIL,Testes de Classe Processual,1,2765,3900,0.00195,8
v1.1,P. CRIMINAL,Testes de Classe Processual,1,2629,3832,0.001916,8
v1.1,P. TRABALHO,Testes de Classe Processual,1,5082,4027,0.0020135,8
v1.1,P. JUIZADO,Testes de Classe Processual,0,8985,3978,0.0019890000000000003,8
v1.1,1º INSTÂNCIA,Testes de Instância,1,4811,3977,0.0019885,8
v1.1,2º INSTÂNCIA - Agravante com Acórdão,Testes de Instância,1,2904,3805,0.0019025000000000001,8
v1.1,2º INSTÂNCIA - Apelante com Distribuição,Testes de Instância,1,3239,3680,0.00184,7
v1.1,2º INSTÂNCIA Distribuição para Turma,Testes de Instância,1,3991,3709,0.0018545,3
v1.1,2º INSTÂNCIA - Embargos em Turma,Testes de Instância,1,3074,4462,0.002231,8
v1.1,2º INSTÂNCIA[FALSO POSITIVO] - Julgamento Virtual RITJMG,Testes de Instância,1,3923,3883,0.0019415,8
v1.1,2º INSTÂNCIA[FALSO POSITIVO] - Acórdão de Turma Trabalhista,Testes de Instância,1,4170,4508,0.002254,8
v1.1,2º INSTÂNCIA[FALSO POSITIVO] - Intimação de Acórdão Trabalhista,Testes de Instância,1,3887,4499,0.0022494999999999998,8
